iter	Passed	Remaining
0	0	684
1	1	632
2	1	626
3	2	608
4	3	631
5	3	654
6	4	697
7	5	691
8	7	786
9	7	763
10	8	740
11	8	727
12	10	771
13	11	784
14	11	776
15	12	762
16	13	755
17	13	751
18	14	741
19	14	729
20	15	733
21	16	736
22	17	732
23	17	726
24	18	718
25	18	710
26	19	703
27	20	695
28	20	688
29	21	682
30	21	685
31	22	691
32	23	687
33	23	681
34	25	690
35	25	686
36	26	680
37	26	675
38	27	671
39	28	681
40	29	683
41	29	681
42	30	677
43	31	675
44	31	671
45	32	667
46	32	663
47	33	658
48	34	661
49	35	667
50	35	664
51	36	661
52	36	657
53	37	655
54	37	652
55	38	650
56	39	653
57	40	655
58	41	662
59	42	660
60	42	657
61	43	654
62	43	651
63	44	648
64	44	644
65	45	641
66	45	638
67	46	642
68	47	643
69	48	643
70	48	640
71	49	638
72	50	636
73	50	634
74	51	632
75	52	632
76	53	643
77	54	644
78	55	643
79	55	641
80	56	638
81	56	636
82	57	634
83	57	632
84	58	627
85	59	631
86	59	629
87	61	633
88	61	631
89	62	629
90	62	628
91	63	626
92	63	624
93	64	622
94	65	624
95	67	636
96	68	639
97	69	637
98	69	635
99	70	632
100	71	632
101	71	628
102	72	627
103	72	625
104	73	623
105	73	621
106	74	619
107	74	617
108	75	616
109	75	614
110	76	612
111	77	617
112	78	616
113	79	614
114	79	613
115	80	610
116	80	608
117	81	606
118	81	603
119	82	602
120	83	603
121	84	605
122	84	602
123	85	601
124	85	599
125	86	596
126	86	594
127	86	591
128	87	589
129	87	587
130	88	585
131	89	585
132	89	586
133	90	585
134	91	583
135	91	581
136	92	579
137	92	578
138	93	576
139	93	575
140	94	574
141	95	576
142	97	582
143	97	581
144	98	579
145	98	577
146	99	576
147	99	574
148	100	572
149	100	570
150	101	569
151	102	569
152	102	568
153	103	567
154	103	565
155	104	564
156	104	562
157	105	561
158	105	559
159	106	557
160	106	555
161	108	562
162	109	561
163	109	560
164	110	558
165	110	556
166	111	555
167	111	553
168	112	551
169	112	550
170	113	548
171	114	553
172	115	552
173	116	551
174	116	550
175	117	548
176	117	547
177	118	545
178	118	544
179	119	542
180	119	539
181	121	547
182	122	546
183	122	545
184	123	544
185	124	542
186	124	541
187	125	539
188	125	538
189	126	539
190	127	539
191	127	538
192	128	537
193	129	536
194	129	534
195	130	533
196	130	531
197	130	530
198	131	528
199	131	527
200	132	527
201	133	526
202	133	525
203	134	525
204	135	525
205	135	524
206	136	522
207	136	521
208	137	519
209	137	518
210	138	517
211	138	516
212	139	515
213	140	515
214	140	514
215	141	512
216	141	511
217	142	510
218	142	509
219	143	508
220	143	506
221	144	505
222	145	506
223	146	506
224	146	505
225	147	504
226	147	503
227	148	501
228	148	500
229	149	499
230	149	498
231	150	497
232	151	498
233	152	498
234	153	498
235	153	497
236	154	495
237	154	494
238	154	493
239	155	492
240	155	490
241	156	489
242	156	489
243	157	489
244	158	488
245	159	487
246	159	486
247	160	485
248	160	483
249	160	482
250	161	481
251	162	481
252	162	480
253	164	483
254	165	482
255	165	481
256	166	480
257	166	479
258	167	478
259	167	476
260	168	475
261	168	474
262	169	475
263	170	476
264	171	475
265	171	474
266	172	473
267	172	472
268	173	471
269	173	470
270	174	469
271	174	468
272	177	472
273	178	472
274	178	471
275	179	470
276	179	469
277	180	468
278	180	467
279	181	466
280	182	466
281	183	466
282	183	465
283	184	464
284	185	464
285	185	463
286	185	462
287	186	460
288	186	459
289	187	458
290	188	458
291	189	458
292	189	457
293	190	457
294	191	456
295	191	455
296	191	454
297	192	453
298	192	452
299	193	451
300	193	450
301	194	449
302	195	449
303	195	448
304	196	447
305	196	446
306	197	445
307	197	444
308	198	443
309	198	442
310	199	441
311	199	440
312	200	440
313	201	439
314	201	438
315	202	437
316	202	437
317	203	436
318	203	435
319	204	434
320	205	433
321	205	432
322	207	433
323	207	433
324	208	432
325	208	431
326	209	430
327	209	429
328	210	428
329	210	427
330	211	426
331	211	425
332	212	425
333	213	424
334	213	424
335	214	423
336	214	422
337	215	421
338	215	420
339	216	419
340	216	419
341	217	418
342	219	420
343	220	419
344	220	419
345	221	418
346	221	417
347	222	416
348	222	415
349	223	414
350	223	413
351	224	413
352	225	412
353	225	411
354	226	411
355	226	410
356	227	409
357	227	408
358	228	407
359	228	406
360	229	405
361	229	404
362	230	403
